,Date,Gold,Zinc,Platinum,Silver,Tin,Copper,Year,Month,Date
271,1982M08,364.23,715.5,296.81,7.11,12195.7,1451.5,1982,8,1982M08
272,1982M09,437.31,749.5,334.13,8.78,12675.7,1426.5,1982,9,1982M09
273,1982M10,422.15,751.3,334.54,9.39,12413.8,1461,1982,10,1982M10
274,1982M11,414.89,710,345.91,9.79,11981.9,1443.8,1982,11,1982M11
275,1982M12,444.5,668.5,368.72,10.57,11992.9,1473.2,1982,12,1982M12
276,1983M01,481.29,699.1,452.85,12.34,12082.6,1571.9,1983,1,1983M01
277,1983M02,491.09,681.4,464.51,13.98,13034.2,1647.4,1983,2,1983M02
278,1983M03,419.7,678.4,401.06,10.64,13426,1597.7,1983,3,1983M03
279,1983M04,432.88,697.5,413.68,11.61,13792.8,1674.9,1983,4,1983M04
280,1983M05,438.01,735.6,448.52,12.92,13522.9,1765.7,1983,5,1983M05
281,1983M06,412.84,718.4,422.37,11.74,13354,1701.2,1983,6,1983M06
282,1983M07,402.91,739.8,433.27,12.03,13193,1704.3,1983,7,1983M07
283,1983M08,416.2,808.9,435.56,12.06,12826,1639.8,1983,8,1983M08
284,1983M09,411.8,837.8,431.11,11.96,12755.3,1560.7,1983,9,1983M09
285,1983M10,393.6,859,395.87,9.89,12750.8,1435.2,1983,10,1983M10
286,1983M11,381.7,859.1,387.67,8.81,12772.5,1389.1,1983,11,1983M11
287,1983M12,388.34,857,393.22,9.15,12345.5,1415.2,1983,12,1983M12
288,1984M01,370.89,957.8,376.25,8.25,12117.8,1375.7,1984,1,1984M01
289,1984M02,385.96,998.4,391.23,9.12,12297.7,1429.8,1984,2,1984M02
290,1984M03,394.26,1040.6,398.43,9.65,12406.1,1501.2,1984,3,1984M03
291,1984M04,381.37,1004.1,391.62,9.25,12445,1532.6,1984,4,1984M04
292,1984M05,377.4,1001.3,387.86,8.97,12582.8,1420.9,1984,5,1984M05
293,1984M06,377.7,941.5,381.55,8.77,12662.2,1366.5,1984,6,1984M06
294,1984M07,347.71,853.6,343.32,7.46,12438.7,1330.8,1984,7,1984M07
295,1984M08,347.7,834.1,339.78,7.6,12302.2,1337.5,1984,8,1984M08
296,1984M09,340.2,873.3,326.7,7.25,12091.1,1293.6,1984,9,1984M09
297,1984M10,341,843.7,324.34,7.29,11744.9,1273,1984,10,1984M10
298,1984M11,342,855.1,328.49,7.49,11991.2,1345.1,1984,11,1984M11
